CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore
12922.0,161,1,13.2,4,4,4,444
12923.0,64,1,12.48,3,4,4,344
12924.0,88,4,166.62000000000003,3,2,1,321
12925.0,4,2,25.5,1,3,3,133
12928.0,35,5,127.03999999999999,2,2,1,221
12929.0,311,1,17.0,4,4,4,444
12930.0,78,2,25.2,3,3,3,333
12931.0,21,15,4188.9800000000005,2,1,1,211
12933.0,24,3,58.300000000000004,2,2,2,222
12935.0,2,7,106.03,1,1,2,112
12936.0,17,4,164.14000000000001,1,2,1,121
12937.0,15,4,37.95,1,2,3,123
12938.0,25,1,9.48,2,4,4,244
12939.0,64,8,1820.96,3,1,1,311
12940.0,54,2,25.3,3,3,3,333
12942.0,131,3,41.25,3,2,3,323
12944.0,35,2,39.699999999999996,2,3,3,233
12945.0,288,1,25.5,4,4,3,443
12947.0,143,5,229.1,4,2,1,421
12948.0,16,7,207.9,1,1,1,111
12949.0,30,8,113.96000000000001,2,1,2,212
12950.0,2,3,143.4,1,2,1,121
12951.0,8,6,101.04,1,1,2,112
12952.0,5,4,71.31,1,2,2,122
12953.0,9,1,35.400000000000006,1,4,3,143
12955.0,1,11,279.93999999999994,1,1,1,111
12956.0,306,1,3.75,4,4,4,444
12957.0,9,8,129.66,1,1,1,111
12962.0,7,2,37.650000000000006,1,3,3,133
12963.0,8,8,185.14999999999998,1,1,1,111
12965.0,89,1,8.25,3,4,4,344
12966.0,9,1,15.0,1,4,4,144
12967.0,358,1,67.5,4,4,2,442
12968.0,112,1,15.0,3,4,4,344
12970.0,7,4,25.05,1,2,3,123
12971.0,3,83,3891.759999999999,1,1,1,111
12974.0,197,1,15.9,4,4,4,444
12976.0,211,1,19.8,4,4,3,443
12977.0,156,1,8.5,4,4,4,444
12980.0,157,9,3065.3400000000006,4,1,1,411
12981.0,29,2,54.48,2,3,2,232
12982.0,242,1,10.4,4,4,4,444
12984.0,18,1,30.0,2,4,3,243
12985.0,0,2,49.2,1,3,2,132
12987.0,73,2,37.2,3,3,3,333
12988.0,292,1,4.25,4,4,4,444
12989.0,3,15,3346.4100000000003,1,1,1,111
12990.0,31,3,120.89999999999999,2,2,2,222
12991.0,23,2,65.0,2,3,2,232
12993.0,23,4,64.15,2,2,2,222
12994.0,4,3,61.2,1,2,2,122
12995.0,85,1,38.160000000000004,3,4,3,343
12997.0,22,4,98.28,2,2,2,222
12999.0,196,3,107.03999999999999,4,2,2,422
13000.0,106,3,107.07000000000001,3,2,2,322
13001.0,4,13,898.37,1,1,1,111
13002.0,318,1,15.0,4,4,4,444
13003.0,105,3,98.5,3,2,2,322
13004.0,11,18,260.2,1,1,1,111
13005.0,173,2,37.3,4,3,3,433
13006.0,56,1,31.8,3,4,3,343
13008.0,323,1,15.0,4,4,4,444
13012.0,9,8,145.47,1,1,1,111
13013.0,1,11,237.79999999999998,1,1,1,111
13014.0,10,10,454.9,1,1,1,111
13015.0,53,5,113.7,3,2,2,322
13016.0,73,3,64.56,3,2,2,322
13017.0,7,1,204.0,1,4,1,141
13018.0,16,28,552.3799999999999,1,1,1,111
13021.0,4,9,232.3,1,1,1,111
13023.0,64,2,47.7,3,3,2,332
13026.0,1,5,244.55999999999997,1,2,1,121
13027.0,113,6,1632.0,3,1,1,311
13028.0,22,2,29.279999999999998,2,3,3,233
13029.0,30,3,1131.0,2,2,1,221
13030.0,11,1,1.65,1,4,4,144
13032.0,52,2,19.0,3,3,3,333
13033.0,357,1,19.5,4,4,3,443
13034.0,54,1,19.799999999999997,3,4,3,343
13035.0,73,2,117.0,3,3,2,332
13037.0,138,3,38.400000000000006,4,2,3,423
13038.0,80,3,219.00000000000003,3,2,1,321
13040.0,8,2,21.84,1,3,3,133
13043.0,273,1,59.8,4,4,2,442
13044.0,291,1,12.600000000000001,4,4,4,444
13045.0,99,1,17.4,3,4,4,344
13046.0,30,2,39.71,2,3,3,233
13047.0,31,7,106.10000000000001,2,1,2,212
13048.0,14,4,47.5,1,2,2,122
13049.0,64,2,106.19999999999999,3,3,2,332
13050.0,14,16,297.97,1,1,1,111
13052.0,212,1,23.85,4,4,3,443
13055.0,78,3,43.08,3,2,3,323
13058.0,24,3,172.8,2,2,1,221
13059.0,249,1,17.700000000000003,4,4,3,443
13060.0,253,1,35.400000000000006,4,4,3,443
13061.0,72,1,9.959999999999999,3,4,4,344
13062.0,191,1,60.48,4,4,2,442
13064.0,12,4,85.65,1,2,2,122
13066.0,24,2,30.200000000000003,2,3,3,233
13067.0,82,1,7.95,3,4,4,344
13068.0,10,2,344.0,1,3,1,131
13069.0,0,22,308.16,1,1,1,111
13070.0,192,1,20.8,4,4,3,443
13072.0,266,1,15.0,4,4,4,444
13075.0,129,1,47.2,3,4,2,342
13077.0,1,3,12.65,1,2,4,124
13078.0,3,25,1246.18,1,1,1,111
13079.0,4,5,202.39999999999998,1,2,1,121
13080.0,179,1,3.3600000000000003,4,4,4,444
13081.0,11,9,138.74,1,1,1,111
13082.0,126,9,247.8,3,1,1,311
13083.0,4,2,51.0,1,3,2,132
13085.0,157,2,77.0,4,3,2,432
13089.0,2,94,4823.410000000002,1,1,1,111
13090.0,8,13,737.4399999999999,1,1,1,111
13091.0,28,1,17.700000000000003,2,4,3,243
13092.0,70,5,84.1,3,2,2,322
13093.0,275,7,592.9,4,1,1,411
13094.0,21,11,811.0200000000002,2,1,1,211
13095.0,70,1,9.36,3,4,4,344
13097.0,32,10,271.91,2,1,1,211
13098.0,1,28,1789.0000000000002,1,1,1,111
13099.0,99,1,207.35999999999999,3,4,1,341
13101.0,234,1,9.95,4,4,4,444
13102.0,1,24,792.3399999999999,1,1,1,111
13103.0,39,1,51.0,2,4,2,242
13104.0,3,6,434.64000000000004,1,1,1,111
13106.0,133,1,76.5,3,4,2,342
13107.0,44,4,162.96,2,2,1,221
13109.0,59,2,25.5,3,3,3,333
13110.0,31,7,87.79,2,1,2,212
13113.0,0,23,2616.6,1,1,1,111
13115.0,11,4,57.6,1,2,2,122
13116.0,138,1,25.5,4,4,3,443
13117.0,21,7,101.36,2,1,2,212
13118.0,19,5,140.68,2,2,1,221
13120.0,238,1,30.599999999999998,4,4,3,443
13121.0,269,1,7.6499999999999995,4,4,4,444
13122.0,94,2,48.56999999999999,3,3,2,332
13124.0,89,3,52.5,3,2,2,322
13126.0,4,6,107.27,1,1,2,112
13127.0,77,1,34.68,3,4,3,343
13130.0,94,1,39.0,3,4,3,343
13131.0,23,3,46.4,2,2,2,222
13132.0,261,1,15.299999999999999,4,4,4,444
13133.0,273,2,29.75,4,3,3,433
13134.0,85,4,125.03999999999999,3,2,1,321
13135.0,196,1,3096.0,4,4,1,441
13136.0,56,5,115.30000000000001,3,2,2,322
13137.0,10,8,31.84,1,1,3,113
13138.0,22,5,78.22000000000001,2,2,2,222
13139.0,16,7,330.34000000000003,1,1,1,111
13140.0,108,2,33.9,3,3,3,333
13141.0,84,5,84.7,3,2,2,322
13142.0,19,1,20.16,2,4,3,243
13144.0,332,1,63.75,4,4,2,442
13145.0,39,3,282.6,2,2,1,221
13146.0,26,1,10.08,2,4,4,244
13147.0,10,4,712.8000000000001,1,2,1,121
13148.0,29,12,226.1,2,1,1,211
13149.0,14,4,87.24000000000001,1,2,2,122
13151.0,295,1,20.4,4,4,3,443
13153.0,5,1,6.24,1,4,4,144
13155.0,33,3,70.4,2,2,2,222
13157.0,49,4,50.54,2,2,2,222
13158.0,94,4,80.1,3,2,2,322
13159.0,8,4,40.160000000000004,1,2,3,123
13160.0,22,1,15.0,2,4,4,244
13161.0,313,1,27.0,4,4,3,443
13162.0,122,4,32.07,3,2,3,323
13165.0,46,2,80.16,2,3,2,232
13166.0,283,1,2.5,4,4,4,444
13167.0,18,4,98.58,2,2,2,222
13168.0,36,4,34.849999999999994,2,2,3,223
13169.0,63,2,39.300000000000004,3,3,3,333
13170.0,26,1,6.75,2,4,4,244
13171.0,21,3,33.16,2,2,3,223
13173.0,4,1,4.95,1,4,4,144
13174.0,16,2,16.2,1,3,4,134
13176.0,46,1,0.85,2,4,4,244
13177.0,64,1,17.700000000000003,3,4,3,343
13178.0,26,11,361.98,2,1,1,211
13182.0,45,1,10.5,2,4,4,244
13183.0,7,9,175.90000000000003,1,1,1,111
13184.0,14,10,72.19999999999999,1,1,2,112
13185.0,267,1,71.4,4,4,2,442
13186.0,39,3,80.28,2,2,2,222
13187.0,337,1,1.25,4,4,4,444
13188.0,11,1,99.60000000000001,1,4,2,142
13189.0,18,2,19.0,2,3,3,233
13192.0,95,2,41.1,3,3,3,333
13193.0,61,1,2.9,3,4,4,344
13194.0,135,1,34.0,4,4,3,443
13196.0,11,4,73.65,1,2,2,122
13198.0,10,6,109.50000000000001,1,1,2,112
13199.0,3,37,3456.280000000001,1,1,1,111
13200.0,19,4,117.45000000000002,2,2,2,222
13203.0,9,4,56.879999999999995,1,2,2,122
13207.0,15,2,42.120000000000005,1,3,3,133
13208.0,58,6,55.419999999999995,3,1,2,312
13209.0,30,8,263.01,2,1,1,211
13210.0,93,1,25.5,3,4,3,343
13211.0,10,3,223.2,1,2,1,121
13212.0,19,3,15.1,2,2,4,224
13213.0,56,5,136.42000000000002,3,2,1,321
13216.0,267,1,69.12,4,4,2,442
13217.0,122,3,294.94,3,2,1,321
13218.0,127,1,15.0,3,4,4,344
13220.0,78,4,344.1,3,2,1,321
13221.0,240,2,20.3,4,3,3,433
13223.0,200,2,115.80000000000001,4,3,2,432
13224.0,60,2,19.32,3,3,3,333
13225.0,3,7,1696.5,1,1,1,111
13226.0,273,1,9.95,4,4,4,444
13227.0,201,1,67.5,4,4,2,442
13228.0,81,1,179.0,3,4,1,341
13229.0,225,1,15.0,4,4,4,444
13230.0,4,14,53.160000000000004,1,1,2,112
13232.0,12,7,75.3,1,1,2,112
13233.0,74,2,60.839999999999996,3,3,2,332
13235.0,212,1,19.799999999999997,4,4,3,443
13236.0,24,2,52.18,2,3,2,232
13238.0,17,4,159.7,1,2,1,121
13239.0,261,1,18.96,4,4,3,443
13240.0,96,4,42.85,3,2,3,323
13242.0,112,3,62.400000000000006,3,2,2,322
13243.0,203,1,5.1,4,4,4,444
13244.0,92,1,4.95,3,4,4,344
13245.0,50,1,24.900000000000002,3,4,3,343
13246.0,18,6,246.42999999999998,2,1,1,211
13247.0,17,4,119.55000000000001,1,2,2,122
13248.0,124,2,33.36,3,3,3,333
13249.0,92,3,302.03999999999996,3,2,1,321
13253.0,156,2,42.36,4,3,3,433
13255.0,9,1,16.6,1,4,4,144
13256.0,14,1,0.0,1,4,4,144
13258.0,11,3,25.34,1,2,3,123
13259.0,61,1,8.5,3,4,4,344
13260.0,61,1,19.92,3,4,3,343
13261.0,268,2,234.0,4,3,1,431
13262.0,263,1,6.959999999999999,4,4,4,444
13263.0,1,35,190.73000000000005,1,1,1,111
13265.0,53,5,166.48000000000002,3,2,1,321
13266.0,11,12,388.22,1,1,1,111
13267.0,2,18,324.86,1,1,1,111
13268.0,17,11,83.0,1,1,2,112
13269.0,1,14,271.79,1,1,1,111
13271.0,37,1,0.39,2,4,4,244
13272.0,31,2,36.660000000000004,2,3,3,233
13273.0,113,1,24.900000000000002,3,4,3,343
13276.0,63,2,58.2,3,3,2,332
13277.0,15,4,149.0,1,2,1,121
13278.0,40,1,10.5,2,4,4,244
13279.0,78,1,9.36,3,4,4,344
13280.0,122,3,47.75,3,2,2,322
13282.0,18,3,139.20000000000002,2,2,1,221
13283.0,59,2,29.3,3,3,3,333
13284.0,330,1,25.5,4,4,3,443
13285.0,23,4,57.400000000000006,2,2,2,222
13291.0,155,1,12.450000000000001,4,4,4,444
13292.0,38,2,65.1,2,3,2,232
13294.0,189,2,42.0,4,3,3,433
13295.0,359,1,19.799999999999997,4,4,3,443
13296.0,137,1,15.0,4,4,4,444
13297.0,7,4,164.34,1,2,1,121
13298.0,1,1,90.0,1,4,2,142
13299.0,268,1,29.700000000000003,4,4,3,443
13300.0,169,1,23.0,4,4,3,443
13301.0,103,4,65.52,3,2,2,322
13302.0,155,1,63.75,4,4,2,442
13304.0,351,1,12.600000000000001,4,4,4,444
13305.0,4,9,204.49,1,1,1,111
13307.0,120,1,15.0,3,4,4,344
13308.0,22,3,54.36,2,2,2,222
13309.0,7,5,79.64,1,2,2,122
13310.0,28,3,39.42,2,2,3,223
13311.0,4,2,34.54,1,3,3,133
13313.0,22,5,67.78,2,2,2,222
13314.0,1,3,36.98,1,2,3,123
13316.0,37,4,408.93,2,2,1,221
13317.0,66,6,136.0,3,1,1,311
13318.0,1,3,197.88,1,2,1,121
13319.0,5,26,638.79,1,1,1,111
13320.0,78,4,47.3,3,2,2,322
13321.0,72,2,259.04,3,3,1,331
13322.0,17,1,8.3,1,4,4,144
13323.0,3,5,424.8,1,2,1,121
13324.0,36,10,1048.2,2,1,1,211
13325.0,81,1,16.5,3,4,4,344
13327.0,38,8,437.3,2,1,1,211
13328.0,316,1,19.799999999999997,4,4,3,443
13329.0,31,1,64.19999999999999,2,4,2,242
13330.0,92,3,56.28,3,2,2,322
13332.0,14,1,17.0,1,4,4,144
13334.0,82,3,47.8,3,2,2,322
13336.0,77,1,15.299999999999999,3,4,4,344
13338.0,157,1,10.2,4,4,4,444
13339.0,200,1,17.4,4,4,4,444
13340.0,45,7,830.08,2,1,1,211
13341.0,260,1,87.6,4,4,2,442
13343.0,177,1,19.8,4,4,3,443
13344.0,67,3,79.64,3,2,2,322
13345.0,287,1,17.700000000000003,4,4,3,443
13347.0,70,1,39.599999999999994,3,4,3,343
13348.0,64,1,10.2,3,4,4,344
13349.0,10,1,15.600000000000001,1,4,4,144
13350.0,16,2,77.1,1,3,2,132
13351.0,66,1,50.0,3,4,2,342
13352.0,60,1,10.5,3,4,4,344
13354.0,71,1,10.5,3,4,4,344
13355.0,122,1,17.700000000000003,3,4,3,343
13356.0,80,1,17.4,3,4,4,344
13357.0,257,1,9.9,4,4,4,444
13358.0,268,1,17.9,4,4,3,443
13359.0,63,1,50.0,3,4,2,342
13362.0,9,4,84.3,1,2,2,122
13363.0,17,2,34.5,1,3,3,133
13364.0,71,1,24.96,3,4,3,343
13365.0,33,2,66.0,2,3,2,232
13366.0,50,1,56.160000000000004,3,4,2,342
13368.0,256,2,45.480000000000004,4,3,2,432
13369.0,365,1,40.0,4,4,3,443
13372.0,89,1,9.95,3,4,4,344
13373.0,60,3,54.6,3,2,2,322
13375.0,88,1,16.5,3,4,4,344
13376.0,99,3,65.69999999999999,3,2,2,322
13379.0,26,3,12.24,2,2,4,224
13381.0,31,6,141.72,2,1,1,211
13382.0,280,1,15.0,4,4,4,444
13384.0,30,7,186.20000000000002,2,1,1,211
13385.0,329,1,17.700000000000003,4,4,3,443
13388.0,131,2,26.1,3,3,3,333
13389.0,11,3,35.16,1,2,3,123
13390.0,74,1,15.0,3,4,4,344
13391.0,203,1,59.8,4,4,2,442
13394.0,1,8,147.03,1,1,1,111
13395.0,185,1,1.92,4,4,4,444
13396.0,29,2,63.06,2,3,2,232
13397.0,72,5,368.45,3,2,1,321
13398.0,192,1,9.959999999999999,4,4,4,444
13402.0,127,1,17.0,3,4,4,344
13403.0,17,1,15.0,1,4,4,144
13404.0,1,2,32.34,1,3,3,133
13405.0,74,3,66.0,3,2,2,322
13408.0,1,60,4468.219999999999,1,1,1,111
13410.0,24,5,212.60000000000002,2,2,1,221
13411.0,107,1,18.75,3,4,3,343
13414.0,133,3,454.65000000000003,3,2,1,321
13416.0,43,2,97.7,2,3,2,232
13417.0,4,2,41.2,1,3,3,133
13418.0,11,16,348.69,1,1,1,111
13419.0,63,1,10.5,3,4,4,344
13420.0,149,2,34.2,4,3,3,433
13421.0,40,2,37.05,2,3,3,233
13422.0,64,1,13.200000000000001,3,4,4,344
13425.0,108,3,41.7,3,2,3,323
13426.0,0,10,330.36,1,1,1,111
13427.0,19,3,44.22,2,2,3,223
13428.0,10,1,0.65,1,4,4,144
13429.0,10,4,69.4,1,2,2,122
13430.0,18,2,55.56,2,3,2,232
13431.0,67,2,53.8,3,3,2,332
13434.0,74,2,187.08,3,3,1,331
13435.0,5,7,224.32,1,1,1,111
13436.0,1,1,11.7,1,4,4,144
13437.0,14,7,106.76,1,1,2,112
13439.0,255,1,6.5,4,4,4,444
13441.0,91,1,12.600000000000001,3,4,4,344
13447.0,23,3,34.3,2,2,3,223
13448.0,16,4,50.25,1,2,2,122
13449.0,23,1,20.4,2,4,3,243
13450.0,26,6,113.76,2,1,2,212
13451.0,26,5,37.349999999999994,2,2,3,223
13452.0,259,2,590.0,4,3,1,431
13453.0,165,2,43.7,4,3,3,433
13455.0,24,1,19.799999999999997,2,4,3,243
13456.0,17,6,350.4000000000001,1,1,1,111
13458.0,7,14,423.76,1,1,1,111
13460.0,29,2,22.98,2,3,3,233
13461.0,38,3,156.1,2,2,1,221
13462.0,252,1,19.8,4,4,3,443
13464.0,58,1,10.5,3,4,4,344
13466.0,184,1,17.700000000000003,4,4,3,443
13467.0,10,2,18.56,1,3,3,133
13468.0,1,34,820.0699999999998,1,1,1,111
13470.0,99,2,33.0,3,3,3,333
13471.0,1,4,71.9,1,2,2,122
13473.0,60,2,32.879999999999995,3,3,3,333
13474.0,236,1,1.7,4,4,4,444
13475.0,191,4,78.18,4,2,2,422
13476.0,178,2,38.7,4,3,3,433
13477.0,37,6,120.32,2,1,2,212
13479.0,200,2,50.4,4,3,2,432
13481.0,45,5,82.15,2,2,2,222
13482.0,232,1,17.4,4,4,4,444
13483.0,65,1,10.08,3,4,4,344
13484.0,241,1,67.5,4,4,2,442
13485.0,233,1,12.5,4,4,4,444
13486.0,78,3,40.62,3,2,3,323
13487.0,57,3,53.099999999999994,3,2,2,322
13488.0,17,12,216.33,1,1,1,111
13489.0,105,4,259.20000000000005,3,2,1,321
13491.0,51,9,136.53000000000003,3,1,1,311
13494.0,311,1,20.16,4,4,3,443
13495.0,7,4,108.17999999999999,1,2,2,122
13496.0,10,2,32.0,1,3,3,133
13497.0,282,1,24.75,4,4,3,443
13499.0,17,5,183.94,1,2,1,121
13500.0,23,3,45.55,2,2,2,222
13502.0,16,3,39.12,1,2,3,123
13503.0,71,1,10.5,3,4,4,344
13504.0,64,1,14.850000000000001,3,4,4,344
13506.0,316,1,16.8,4,4,4,444
13507.0,3,4,79.05,1,2,2,122
13508.0,243,1,15.9,4,4,4,444
13509.0,8,7,223.9,1,1,1,111
13510.0,1,4,48.28,1,2,2,122
13512.0,260,1,17.85,4,4,3,443
13513.0,126,1,9.899999999999999,3,4,4,344
13514.0,73,1,39.900000000000006,3,4,3,343
13515.0,72,4,80.34,3,2,2,322
13516.0,21,3,230.34,2,2,1,221
13517.0,59,3,54.599999999999994,3,2,2,322
13518.0,85,1,19.799999999999997,3,4,3,343
13519.0,78,1,11.9,3,4,4,344
13521.0,1,3,11.16,1,2,4,124
13522.0,30,1,17.700000000000003,2,4,3,243
13523.0,33,4,86.68,2,2,2,222
13524.0,40,5,175.20000000000002,2,2,1,221
13525.0,14,2,464.0,1,3,1,131
13527.0,33,7,133.51,2,1,1,211
13529.0,78,2,33.2,3,3,3,333
13531.0,205,1,41.6,4,4,3,443
13532.0,33,1,2.08,2,4,4,244
13533.0,182,3,11.75,4,2,4,424
13534.0,2,25,535.73,1,1,1,111
13536.0,1,7,144.57999999999998,1,1,1,111
13538.0,43,7,309.6,2,1,1,211
13539.0,85,3,46.900000000000006,3,2,2,322
13544.0,39,2,10.7,2,3,4,234
13546.0,12,3,31.45,1,2,3,123
13548.0,96,2,11.049999999999999,3,3,4,334
13549.0,25,7,138.2,2,1,1,211
13551.0,319,1,17.85,4,4,3,443
13552.0,66,12,282.27000000000004,3,1,1,311
13555.0,73,4,166.9,3,2,1,321
13557.0,28,2,49.8,2,3,2,232
13558.0,5,4,17.7,1,2,3,123
13560.0,7,1,2.95,1,4,4,144
13561.0,215,1,2.08,4,4,4,444
13562.0,81,3,53.650000000000006,3,2,2,322
13563.0,84,2,94.35,3,3,2,332
13564.0,144,2,553.59,4,3,1,431
13565.0,19,2,11.0,2,3,4,234
13566.0,40,2,5.5,2,3,4,234
13568.0,173,1,8.3,4,4,4,444
13569.0,17,1,4.949999999999999,1,4,4,144
13570.0,243,1,3.9,4,4,4,444
13571.0,12,12,100.29,1,1,2,112
13572.0,205,1,17.700000000000003,4,4,3,443
13573.0,50,2,41.67,3,3,3,333
13575.0,23,5,99.61,2,2,2,222
13576.0,10,17,1726.6499999999996,1,1,1,111
13577.0,25,4,86.4,2,2,2,222
13579.0,14,1,47.7,1,4,2,142
13581.0,309,1,7.95,4,4,4,444
13583.0,155,1,9.0,4,4,4,444
13584.0,306,1,9.95,4,4,4,444
13587.0,63,1,23.4,3,4,3,343
13588.0,15,9,101.00999999999999,1,1,2,112
13589.0,14,2,39.95,1,3,3,133
13590.0,11,6,359.74,1,1,1,111
13591.0,64,3,57.120000000000005,3,2,2,322
13592.0,35,4,79.07,2,2,2,222
13593.0,108,5,60.8,3,2,2,322
13594.0,52,1,9.9,3,4,4,344
13596.0,5,2,21.78,1,3,3,133
13598.0,47,1,1.25,2,4,4,244
13599.0,1,19,515.1100000000001,1,1,1,111
13600.0,312,1,4.95,4,4,4,444
13601.0,45,2,19.45,2,3,3,233
13602.0,64,1,16.5,3,4,4,344
13603.0,26,1,6.24,2,4,4,244
13606.0,29,3,52.19,2,2,2,222
13607.0,40,1,23.4,2,4,3,243
13610.0,12,7,62.790000000000006,1,1,2,112
13611.0,89,3,70.2,3,2,2,322
13614.0,24,4,50.040000000000006,2,2,2,222
13615.0,318,1,23.25,4,4,3,443
13617.0,40,3,23.65,2,2,3,223
13618.0,173,1,6.959999999999999,4,4,4,444
13621.0,116,1,4.0,3,4,4,344
13623.0,30,5,53.14,2,2,2,222
13626.0,252,1,17.4,4,4,4,444
13627.0,59,5,84.47999999999999,3,2,2,322
13629.0,23,11,1958.85,2,1,1,211
13630.0,5,7,414.8,1,1,1,111
13631.0,99,11,3070.42,3,1,1,311
13632.0,24,5,72.87,2,2,2,222
13634.0,33,5,27.04,2,2,3,223
13635.0,67,1,17.4,3,4,4,344
13636.0,36,5,105.35,2,2,2,222
13637.0,52,3,17.849999999999998,3,2,3,323
13638.0,15,1,10.5,1,4,4,144
13639.0,74,1,23.4,3,4,3,343
13642.0,215,1,4.25,4,4,4,444
13643.0,31,3,39.5,2,2,3,223
13644.0,16,4,83.34,1,2,2,122
13645.0,120,1,19.9,3,4,3,343
13647.0,9,4,78.26,1,2,2,122
13649.0,256,1,15.299999999999999,4,4,4,444
13650.0,16,6,88.34,1,1,2,112
13651.0,35,2,28.5,2,3,3,233
13652.0,45,2,42.04,2,3,3,233
13654.0,43,6,159.2,2,1,1,211
13655.0,114,2,45.8,3,3,2,332
13656.0,164,2,12.75,4,3,4,434
13657.0,10,2,22.8,1,3,3,133
13658.0,9,5,130.88000000000002,1,2,1,121
13659.0,205,2,75.55,4,3,2,432
13662.0,85,3,67.8,3,2,2,322
13663.0,179,1,16.5,4,4,4,444
13666.0,60,3,39.8,3,2,3,323
13667.0,149,1,4.16,4,4,4,444
13668.0,2,21,325.20000000000005,1,1,1,111
13669.0,50,2,17.55,3,3,3,333
13670.0,75,1,16.5,3,4,4,344
13672.0,301,2,81.0,4,3,2,432
13673.0,18,2,31.2,2,3,3,233
13675.0,151,2,54.96,4,3,2,432
13678.0,151,1,4.8,4,4,4,444
13680.0,1,4,131.85,1,2,1,121
13681.0,17,4,55.61,1,2,2,122
13682.0,187,1,25.5,4,4,3,443
13684.0,285,1,3.0,4,4,4,444
13685.0,2,7,1781.62,1,1,1,111
13686.0,182,1,8.5,4,4,4,444
13689.0,63,1,179.0,3,4,1,341
13690.0,59,1,10.2,3,4,4,344
13692.0,24,3,74.9,2,2,2,222
13694.0,3,49,7307.060000000002,1,1,1,111
13695.0,31,15,530.63,2,1,1,211
13697.0,38,1,15.0,2,4,4,244
13699.0,155,1,17.700000000000003,4,4,3,443
13700.0,26,10,238.83,2,1,1,211
13703.0,318,1,99.5,4,4,2,442
13704.0,5,9,176.68,1,1,1,111
13705.0,7,2,39.9,1,3,3,133
13706.0,302,1,7.800000000000001,4,4,4,444
13707.0,267,2,25.2,4,3,3,433
13708.0,271,1,4.949999999999999,4,4,4,444
13709.0,3,13,433.26000000000005,1,1,1,111
13710.0,31,1,19.799999999999997,2,4,3,243
13711.0,218,2,55.400000000000006,4,3,2,432
